"","X","text","n"
"1",1,"flood alert upper river mole ifield brook gatwick stream burstow stream",75
"2",2,"flood alert ifield brook upper river mole gatwick stream burstow stream",60
"3",3,"east and north horley",23
"4",4,"ifield brook upper river mole gatwick stream burstow stream",19
"5",5,"normal upper river mole ifield brook gatwick stream burstow stream",19
"6",6,"the burstow stream",13
"7",7,"flood warning burstow stream",10
"8",8,"the upper river mole ifield brook gatwick stream burstow stream",10
"9",9,"04012016 ifield brook upperrvrmole gatwick stream burstow stream",9
"10",10,"501pm 16092016 ifield brook upperrvrmole gatwick stream burstow stream",9
"11",11,"826pm 09032016 ifield brook upperrvrmole gatwick stream burstow stream",9
"12",12,"839am 09032016 ifield brook upperrvrmole gatwick stream burstow",9
"13",13,"935am 08012016 ifield brook upperrvrmole gatwick stream burstow stream",9
"14",14,"the environment agency",9
"15",15,"1011am 07012016 ifield brook upperrvrmole gatwick stream burstow",8
"16",16,"559pm 13012016 ifield brook upperrvrmole gatwick stream burstow",8
"17",17,"722am 11012016 ifield brook upperrvrmole gatwick stream burstow",8
"18",18,"848pm 02012016 ifield brook upperrvrmole gatwick stream burstow",8
"19",19,"909am 13072016 ifield brook upperrvrmole gatwick stream burstow stream",8
"20",20,"flood alert 612am 28032016 ifield brook upperrvrmole gatwick stream burstow",8
"21",21,"flood alert 621pm 15092016 ifield brook upperrvrmole gatwick stream burstow",8
"22",22,"707pm 22062016 ifield brook upperrvrmole gatwick stream burstow",7
"23",23,"844pm 12072016 ifield brook upperrvrmole gatwick stream burstow",7
"24",24,"a flood warning",7
"25",25,"flood alert 533pm 07022016 ifield brook upperrvrmole gatwick stream burstow",7
