"","sentiment","n","percent"
"1","anger",101,5.09
"2","anticipation",267,13.46
"3","disgust",72,3.63
"4","fear",345,17.39
"5","joy",162,8.17
"6","sadness",245,12.35
"7","surprise",230,11.59
"8","trust",562,28.33
