"","sentiment","n","percent"
"1","anger",22,9.28
"2","anticipation",11,4.64
"3","disgust",3,1.27
"4","fear",180,75.95
"5","joy",9,3.8
"6","sadness",1,0.42
"7","surprise",3,1.27
"8","trust",8,3.38
