"","X","text","n"
"1",1,"the bloxham brook",155
"2",2,"flood alert sor brook",109
"3",3,"normal sor brook",13
"4",4,"flood warning sor brook",6
"5",5,"1152 8 january",3
"6",6,"05012016 sor brook",2
"7",7,"0847 28 march",2
"8",8,"09032016 sor brook  bodicote",2
"9",9,"1001am 26082015 sor brook",2
"10",10,"10032016 sor brook",2
"11",11,"1026am 12012016 sor brook",2
"12",12,"1242 7 february",2
"13",13,"16092016 sor brook",2
"14",14,"307pm 10032016 sor brook",2
"15",15,"932am 30122015 sor brook",2
"16",16,"944am 29032016 sor brook",2
"17",17,"flood alert 743pm 25082015 sor brook",2
"18",18,"06012016 sor brook",1
"19",19,"1004 10 february",1
"20",20,"1009 11 november",1
"21",21,"1009 21 december",1
"22",22,"1225pm 06022016 sor brook",1
"23",23,"1232 28 january",1
"24",24,"1401 2 april",1
"25",25,"3 biggest polluting sewage sites",1
