"","X","text","n"
"1",1,"sugar ray leonard",222
"2",2,"fci ray brook",99
"3",3,"gennady golovkin brook",72
"4",4,"ray brook brewhouse",71
"5",5,"country brook apartments",65
"6",6,"joshua blvd ray",65
"7",7,"ray brook road",58
"8",8,"ray brook federal prison",53
"9",9,"a youtube video  beaver brook golf club mike weiks ray wilner",33
"10",10,"ray brook new york",32
"11",11,"meadow brook andhitheatre",25
"12",12,"pentagon psy ops candaign",25
"13",13,"tom vanden brook",24
"14",14,"ray brook ny",23
"15",15,"ray brook",22
"16",16,"usa today staff",22
"17",17,"golovkin kell brook",21
"18",18,"meadow brook music festival",21
"19",19,"uncertain brook lopez",21
"20",20,"sugar ray leonard kell brook",20
"21",21,"sugar ray robinson",20
"22",22,"b feat ray ellis single version",19
"23",23,"host matt ray interview",19
"24",24,"the 7foot center",19
"25",25,"the olympic village",18
