"source","target","value"
"Agriculture and rural land management","Poor nutrient management",1
"Navigation","Inland boating and structures",1
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Sewage discharge (continuous)",2
"Water Industry","Sewage discharge (intermittent)",1
