"","sentiment","n","percent"
"1","anger",10,4.55
"2","anticipation",45,20.45
"3","disgust",3,1.36
"4","fear",20,9.09
"5","joy",62,28.18
"6","sadness",9,4.09
"7","surprise",26,11.82
"8","trust",45,20.45
