"source","target","value"
"Industry","Groundwater resource impacts",2
"No sector responsible","North american signal crayfish",1
"Other","Barriers - ecological discontinuity",1
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Groundwater abstraction",1
"Water Industry","Sewage discharge (continuous)",1
