"source","target","value"
"Agriculture and rural land management","Poor Livestock Management",1
"Other","Barriers - ecological discontinuity",1
"Other","Reservoir / Impoundment - non flow related",1
"Water Industry","Groundwater abstraction",3
"Water Industry","Sewage discharge (continuous)",3
"Water Industry","Sewage discharge (intermittent)",1
