"","sentiment","n","percent"
"1","anger",2245,6.4
"2","anticipation",5716,16.3
"3","disgust",2031,5.79
"4","fear",3339,9.52
"5","joy",5778,16.48
"6","sadness",3522,10.04
"7","surprise",2651,7.56
"8","trust",9782,27.9
