"","X","text","n"
"1",1,"last ditch talks",12
"2",2,"a healthy lifestyle",10
"3",3,"the right ditch",8
"4",4,"the teacher snitch line waterloo region school board trustees",8
"5",5,"single vehicle",7
"6",6,"waterloo regional road",7
"7",7,"the left ditch",6
"8",8,"waterloo  single vehicle",6
"9",9,"the old vic tunnels",5
"10",10,"waterloo record ditch",5
"11",11,"a last ditch effort",4
"12",12,"a lastditch attempt",4
"13",13,"a waterloo man",4
"14",14,"kitchener  waterloo  hospitality",4
"15",15,"spanish painter ulpiano checa",4
"16",16,"the teacher snitch line",4
"17",17,"triple whammy tube strike",4
"18",18,"waterloo regional police",4
"19",19,"36 infection rate",3
"20",20,"85 sb rand",3
"21",21,"a last ditch attempt",3
"22",22,"more than two years",3
"23",23,"the blackberry priv",3
"24",24,"the centre ditch",3
"25",25,"the companys first android device",3
