"","sentiment","n","percent"
"1","anger",137,5.55
"2","anticipation",320,12.97
"3","disgust",456,18.48
"4","fear",340,13.78
"5","joy",295,11.96
"6","sadness",297,12.04
"7","surprise",138,5.59
"8","trust",484,19.62
