"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039017930","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"2","GB106039017930","Agriculture and rural land management","Suspected","Agriculture - Arable","Land drainage","Suspected"
"3","GB106039017930","Agriculture and rural land management","Suspected","Agriculture - Arable","Barriers - ecological discontinuity","Suspected"
"4","GB106039017930","Water Industry","Suspected","Waste water treatment","Sewage discharge (continuous)","Suspected"
"5","GB106039017930","Urban and transport","Probable","Roads","Transport Drainage","Probable"
