"","sentiment","n","percent"
"1","anger",19,14.39
"2","anticipation",28,21.21
"3","disgust",5,3.79
"4","fear",10,7.58
"5","joy",22,16.67
"6","sadness",11,8.33
"7","surprise",13,9.85
"8","trust",24,18.18
