"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106038033260","Other","Probable","Not applicable","Private Sewage Treatment","Probable"
"2","GB106038033260","Other","Probable","Not applicable","Private Sewage Treatment","Probable"
"3","GB106038033260","Agriculture and rural land management","Probable","Agriculture - Arable","Land use - arable","Probable"
"4","GB106038033260","Agriculture and rural land management","Suspected","Agriculture - Arable","Land use - arable","Suspected"
"5","GB106038033260","Agriculture and rural land management","Probable","Agriculture - Arable","Land use - arable","Probable"
"6","GB106038033260","Other","Probable","Not applicable","Private Sewage Treatment","Probable"
"7","GB106038033260","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"8","GB106038033260","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"9","GB106038033260","Agriculture and rural land management","Suspected","Not applicable","Other (not in list, must add details in comments)","Suspected"
"10","GB106038033260","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"11","GB106038033260","Agriculture and rural land management","Suspected","Agriculture - Arable","Poor soil management","Suspected"
"12","GB106038033260","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
