"","sentiment","n","percent"
"1","anger",7,8.54
"2","anticipation",21,25.61
"3","disgust",7,8.54
"4","fear",1,1.22
"5","joy",19,23.17
"6","sadness",2,2.44
"7","surprise",13,15.85
"8","trust",12,14.63
