"","sentiment","n","percent"
"1","anger",4829,18.71
"2","anticipation",3303,12.79
"3","disgust",3710,14.37
"4","fear",3216,12.46
"5","joy",2884,11.17
"6","sadness",2604,10.09
"7","surprise",1274,4.93
"8","trust",3996,15.48
