"","X","text","n"
"1",1,"the best wedding",208
"2",2,"20 rb 511 190 hunterdon",119
"3",3,"the holy brook",119
"4",4,"the holy spirit",111
"5",5,"holy shit brook",108
"6",6,"howard columbia upenn",79
"7",7,"albany villanova stony brook monmouth",66
"8",8,"stony brook monmouth",65
"9",9,"the opening interest rutgers",65
"10",10,"holy shit brook lopez",62
"11",11,"st elon villanova holy cross stony brook new handshire",62
"12",12,"aften brook szymanski holy freaking mind",59
"13",13,"the best sequelif",58
"14",14,"holy moly kelly brook",49
"15",15,"brook holy shit",43
"16",16,"the horse gate",42
"17",17,"all the fields",40
"18",18,"the holy ghost",39
"19",19,"the whole valley",39
"20",20,"holy cross",38
"21",21,"the dead bodies",38
"22",22,"holy brook car park bridge street",36
"23",23,"uconn holy cross",36
"24",24,"holy fuck brook",35
"25",25,"old bridge",34
