"source","target","value"
"Local and Central Government","Flood protection - structures",1
"Local and Central Government","Other (not in list, must add details in comments)",1
"No sector responsible","North american signal crayfish",2
"Recreation","Other (not in list, must add details in comments)",1
"Sector under investigation","Unknown (pending investigation)",2
"Urban and transport","Barriers - ecological discontinuity",1
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Transport Drainage",2
"Urban and transport","Urbanisation - transport",2
"Urban and transport","Urbanisation - urban development",1
"Water Industry","Sewage discharge (continuous)",2
