"","mean_senti","Date"
"1",-1.75,2008-03-01
"2",0.2,2009-04-01
"3",0.125,2009-06-01
"4",0.75,2009-09-01
"5",0.325,2009-12-01
"6",1.075,2010-04-01
"7",-1.45,2010-05-01
"8",0.25,2010-07-01
"9",-0.4,2010-09-01
"10",1,2010-12-01
"11",-0.4,2011-01-01
"12",0.8,2011-04-01
"13",0.75,2011-06-01
"14",1.35,2011-07-01
"15",-0.75,2011-08-01
"16",0,2012-03-01
"17",0.075,2012-04-01
"18",1.9,2012-05-01
"19",-0.125,2012-06-01
"20",1.1375,2012-09-01
"21",-0.2,2012-11-01
"22",-0.45,2012-12-01
"23",1.1,2013-03-01
"24",0.4,2013-04-01
"25",-0.18,2013-06-01
"26",0.125,2013-07-01
"27",0.0333333333333333,2013-08-01
"28",0.6,2013-09-01
"29",-0.2,2013-10-01
"30",0.5,2013-11-01
"31",-0.135714285714286,2013-12-01
"32",-0.0326388888888889,2014-01-01
"33",-0.0454978354978355,2014-02-01
"34",0.375,2014-03-01
"35",0.01,2014-04-01
"36",0.3125,2014-05-01
"37",0.65,2014-06-01
"38",0.7625,2014-07-01
"39",-0.2,2014-08-01
"40",0.435714285714286,2014-09-01
"41",0.428125,2014-10-01
"42",-0.111111111111111,2014-11-01
"43",0.0722222222222222,2014-12-01
"44",-0.472222222222222,2015-01-01
"45",0.33,2015-02-01
"46",0,2015-03-01
"47",-0.25,2015-04-01
"48",-0.00416666666666668,2015-05-01
"49",0.0714285714285714,2015-06-01
"50",-0.55,2015-07-01
"51",0.225,2015-08-01
"52",0.3,2015-09-01
"53",0.0333333333333333,2015-10-01
"54",0.2625,2015-11-01
"55",-0.4,2015-12-01
"56",-0.325986513486513,2016-01-01
"57",0.237121212121212,2016-02-01
"58",-0.0201690821256038,2016-03-01
"59",0,2016-04-01
"60",-0.05,2016-05-01
"61",0.0588888888888889,2016-06-01
"62",0.0525,2016-07-01
"63",0.4,2016-08-01
"64",-0.00666666666666667,2016-09-01
"65",-0.416666666666667,2016-10-01
"66",-0.0158730158730159,2016-11-01
"67",-1.75,2016-12-01
"68",0.30625,2017-01-01
"69",0.75,2017-02-01
"70",-0.00714285714285714,2017-03-01
"71",0.1,2017-04-01
"72",0.15,2017-05-01
"73",0.339285714285714,2017-06-01
"74",0.4125,2017-07-01
"75",0.284,2017-08-01
"76",0.289285714285714,2017-09-01
"77",0.333775510204082,2017-10-01
"78",-0.405555555555556,2017-11-01
"79",0.226333333333333,2017-12-01
"80",1.015625,2018-01-01
"81",0.8,2018-02-01
"82",0.2875,2018-03-01
"83",1.01458333333333,2018-04-01
"84",0.708333333333333,2018-05-01
"85",-0.3,2018-06-01
"86",0.446875,2018-07-01
"87",0.05,2018-08-01
"88",-0.310714285714286,2018-09-01
"89",0.508333333333333,2018-10-01
"90",-0.0763888888888889,2018-11-01
"91",0.36537037037037,2018-12-01
"92",1.025,2019-01-01
"93",-0.141666666666667,2019-02-01
"94",-0.294444444444444,2019-03-01
"95",0.73,2019-04-01
"96",-0.108333333333333,2019-05-01
"97",-0.336904761904762,2019-06-01
"98",0.575,2019-07-01
"99",0.1,2019-08-01
"100",0.197916666666667,2019-09-01
"101",0.546428571428571,2019-10-01
"102",-0.472916666666667,2019-11-01
"103",-0.0513425925925926,2019-12-01
"104",-1.12,2020-01-01
"105",-0.1425,2020-02-01
"106",0.178787878787879,2020-03-01
"107",0.475,2020-04-01
"108",1.10416666666667,2020-05-01
"109",0.1,2020-06-01
"110",-0.1375,2020-07-01
"111",0.00833333333333334,2020-08-01
"112",0.166666666666667,2020-09-01
"113",0.683958333333333,2020-10-01
"114",0.376,2020-11-01
"115",-0.485,2020-12-01
"116",0.0648809523809524,2021-01-01
"117",0.967857142857143,2021-02-01
"118",-1.11875,2021-03-01
"119",-0.375,2021-04-01
"120",-0.4,2021-05-01
"121",0.466666666666667,2021-06-01
"122",0.4375,2021-07-01
"123",0.0714285714285714,2021-08-01
