"","X","text","n"
"1",1,"former obama adviser gibbs",22
"2",2,"ap  mcdonalds",19
"3",3,"executive team oak brook",17
"4",4,"gibbs brook lane",17
"5",5,"mountain brook",11
"6",6,"a brook angling activities",10
"7",7,"6 marsh brook drive",6
"8",8,"stony brook rd",6
"9",9,"nytraffic congestion average speed",4
"10",10,"a few verbal rounds",3
"11",11,"former white house",3
"12",12,"qb strother gibbs",3
"13",13,"the brook bar",3
"14",14,"the space reporter",3
"15",15,"17 briarwood christian",2
"16",16,"21 oak mountain",2
"17",17,"3 tds 225 yards",2
"18",18,"a new test",2
"19",19,"austin 10 mountain brook",2
"20",20,"congressman gibbs tours nasa plum brook research center",2
"21",21,"gibbs pond rd",2
"22",22,"hall usa todaywhite house press secretary robert gibbs",2
"23",23,"historic st georges",2
"24",24,"more info contact darlene gibbs",2
"25",25,"no 2 mountain brook",2
