"","sentiment","n","percent"
"1","anger",2085,4.89
"2","anticipation",11026,25.86
"3","disgust",1396,3.27
"4","fear",3108,7.29
"5","joy",8403,19.71
"6","sadness",3393,7.96
"7","surprise",4934,11.57
"8","trust",8291,19.45
