"","sentiment","n","percent"
"1","anger",1,12.5
"2","anticipation",1,12.5
"3","disgust",1,12.5
"4","fear",2,25
"5","sadness",1,12.5
"6","surprise",1,12.5
"7","trust",1,12.5
