"source","target","value"
"Recreation","Barriers - ecological discontinuity",1
"Urban and transport","Barriers - ecological discontinuity",1
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Urbanisation - urban development",2
