"","sentiment","n","percent"
"1","anger",122,5.37
"2","anticipation",296,13.04
"3","disgust",54,2.38
"4","fear",889,39.16
"5","joy",341,15.02
"6","sadness",84,3.7
"7","surprise",138,6.08
"8","trust",346,15.24
