"","sentiment","n","percent"
"1","anger",37,6
"2","anticipation",134,21.72
"3","disgust",30,4.86
"4","fear",42,6.81
"5","joy",130,21.07
"6","sadness",39,6.32
"7","surprise",40,6.48
"8","trust",165,26.74
