"","sentiment","n","percent"
"1","anger",6,5.61
"2","anticipation",25,23.36
"3","disgust",8,7.48
"4","fear",7,6.54
"5","joy",21,19.63
"6","sadness",8,7.48
"7","surprise",9,8.41
"8","trust",23,21.5
