"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039037320","Agriculture and rural land management","Suspected","Agriculture - Arable","Poor nutrient management","Suspected"
"2","GB106039037320","Water Industry","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
