"","X","text","n"
"1",1,"flood alert upper river mole ifield brook gatwick stream burstow stream",75
"2",2,"flood alert ifield brook upper river mole gatwick stream burstow stream",60
"3",3,"normal upper river mole ifield brook gatwick stream burstow stream",19
"4",4,"ifield brook upper river mole gatwick stream burstow stream",17
"5",5,"the upper river mole ifield brook gatwick stream burstow stream",10
"6",6,"ifield brook upper river mole gatwick stream",5
"7",7,"normal ifield brook upper river mole gatwick stream burstow stream",5
"8",8,"upper river mole ifield brook gatwick stream burstow stream",5
"9",9,"the ifield brook upper river mole gatwick stream burstow stream",4
"10",10,"1759 13 january",3
"11",11,"flood alert flooding",3
"12",12,"ifield brook upper river mole gatwick stream burstow",3
"13",13,"a flood alert",2
"14",14,"ifield brook upper river mole burstow stream",2
"15",15,"normal upper river mole",2
"16",16,"the river eden",2
"17",17,"the river mole",2
"18",18,"travel a23 salford",2
"19",19,"<u+2614> flood alert",1
"20",20,"0714 6 march",1
"21",21,"0755 5 march",1
"22",22,"0839 9 march",1
"23",23,"12 jan  location ifield brook upper river mole burstow stream",1
"24",24,"1347 6 march",1
"25",25,"1546 5 march",1
