"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039029910","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"2","GB106039029910","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"3","GB106039029910","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"4","GB106039029910","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"5","GB106039029910","Water Industry","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
"6","GB106039029910","Water Industry","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
