"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039030320","Urban and transport","Probable","Not applicable","Urbanisation - urban development","Probable"
"2","GB106039030320","Urban and transport","Probable","Not applicable","Land drainage - operational management","Probable"
"3","GB106039030320","Urban and transport","Probable","Other (not in list)","Flood protection - other operational management","Probable"
"4","GB106039030320","Urban and transport","Probable","Not applicable","Other (not in list, must add details in comments)","Probable"
"5","GB106039030320","Urban and transport","Probable","Urban","Other (not in list, must add details in comments)","Probable"
"6","GB106039030320","Water Industry","Suspected","Waste water treatment","Sewage discharge (intermittent)","Suspected"
"7","GB106039030320","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"8","GB106039030320","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
