"source","target","value"
"Agriculture and rural land management","Poor Livestock Management",1
"Agriculture and rural land management","Poor nutrient management",2
"Water Industry","Sewage discharge (continuous)",3
"Water Industry","Sewage discharge (intermittent)",3
