"","X","text","n"
"1",1,"j9 m65 clayton brook",72
"2",2,"clayton brook pr5",39
"3",3,"clayton brook village hall",39
"4",4,"j9 clayton brook",28
"5",5,"j9 m65 clayton brook northbound",26
"6",6,"j2 m61 clayton brook",23
"7",7,"clayton brooks autumn",22
"8",8,"clayton brook community house",19
"9",9,"cup winners clayton brook",16
"10",10,"m61  lane",16
"11",11,"next month book",16
"12",12,"pebble brook drive",16
"13",13,"clayton brook road",15
"14",14,"j2 clayton brook",15
"15",15,"asda clayton brook",14
"16",16,"clayton brook surgery",14
"17",17,"the clayton brook area",12
"18",18,"exit slip road",11
"19",19,"sea fishing rod",11
"20",20,"broken down vehicle",10
"21",21,"clayton brook",10
"22",22,"clayton brook preston",9
"23",23,"clayton brook primary school",9
"24",24,"j9 m65 clayton brook southbound",8
"25",25,"m65  lane",8
