"","sentiment","n","percent"
"1","anger",2,1.45
"2","anticipation",25,18.12
"3","disgust",6,4.35
"4","fear",8,5.8
"5","joy",32,23.19
"6","sadness",7,5.07
"7","surprise",17,12.32
"8","trust",41,29.71
