"source","target","value"
"Industry","Barriers - ecological discontinuity",1
"Local and Central Government","Other (not in list, must add details in comments)",1
"Mining and quarrying","Active mine",1
"Mining and quarrying","Quarry",1
"No sector responsible","Low Flow (not drought)",1
"No sector responsible","Natural conditions - other",2
"Recreation","Barriers - ecological discontinuity",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Barriers - ecological discontinuity",1
"Urban and transport","Other (not in list, must add details in comments)",1
"Water Industry","Groundwater abstraction",1
