"","X","text","n"
"1",1,"mill river parkway",13627
"2",2,"mill river parkway nb entrance rand",5638
"3",3,"mill river road",4138
"4",4,"sb exit rand",3482
"5",5,"mill river rd",3409
"6",6,"exit 88a i87",3011
"7",7,"saw mill river road",2750
"8",8,"i287  route",2674
"9",9,"saw mill river pkwy",2273
"10",10,"saw mill river parkway nb",2191
"11",11,"mill river pkwy",2095
"12",12,"the mill river recluse",2091
"13",13,"mill river parkway connector farragut avenue",1802
"14",14,"saw mill river parkway sb",1710
"15",15,"saw mill river pkwy nb",1710
"16",16,"the mill river",1603
"17",17,"saw mill river",1555
"18",18,"saw mill river pkwy sb",1530
"19",19,"old saw mill river road",1521
"20",20,"the beeline system bus",1492
"21",21,"traffic nysdot  region 8 disabled vehicle",1469
"22",22,"saw mill river parkway",1155
"23",23,"disabled vehicle",1150
"24",24,"millwood open house",1069
"25",25,"mill river parkway bronxwestchester county line city",1047
