"source","target","value"
"Agriculture and rural land management","Other (not in list, must add details in comments)",2
"Agriculture and rural land management","Poor nutrient management",1
"Agriculture and rural land management","Reservoir / Impoundment - non flow related",1
"Agriculture and rural land management","Riparian/in-river activities (inc bankside erosion)",1
"No sector responsible","North american signal crayfish",1
"Other","Barriers - ecological discontinuity",1
"Recreation","Impoundment - u/s elevated water level",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Urbanisation - urban development",1
"Water Industry","Sewage discharge (continuous)",3
