"source","target","value"
"Agriculture and rural land management","Poor nutrient management",5
"Industry","Contaminated land",1
"Industry","Incidents",1
"Urban and transport","Contaminated land",2
"Urban and transport","Incidents",1
"Urban and transport","Private Sewage Treatment",2
"Water Industry","Groundwater abstraction",2
"Water Industry","Sewage discharge (continuous)",2
