"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039023710","Water Industry","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
"2","GB106039023710","Agriculture and rural land management","Suspected","Agriculture - Arable","Poor nutrient management","Suspected"
"3","GB106039023710","Agriculture and rural land management","Suspected","Agriculture - Arable","Poor nutrient management","Suspected"
"4","GB106039023710","Water Industry","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
