"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106038033391","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"2","GB106038033391","Urban and transport","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"3","GB106038033391","Water Industry","Probable","Not applicable","Sewage discharge (intermittent)","Probable"
"4","GB106038033391","Water Industry","Confirmed","Water supply","Groundwater abstraction","Confirmed"
"5","GB106038033391","Urban and transport","Confirmed","Other (not in list)","Flood protection - structures","Confirmed"
"6","GB106038033391","Urban and transport","Confirmed","Not applicable","Urbanisation - urban development","Confirmed"
"7","GB106038033391","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"8","GB106038033391","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"9","GB106038033391","Water Industry","Probable","Not applicable","Sewage discharge (intermittent)","Probable"
"10","GB106038033391","Water Industry","Confirmed","Water supply","Groundwater abstraction","Confirmed"
"11","GB106038033391","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"12","GB106038033391","Urban and transport","Probable","Roads","Transport Drainage","Probable"
"13","GB106038033391","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"14","GB106038033391","Urban and transport","Probable","Roads","Transport Drainage","Probable"
"15","GB106038033391","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"16","GB106038033391","Water Industry","Probable","Not applicable","Sewage discharge (intermittent)","Probable"
"17","GB106038033391","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"18","GB106038033391","Urban and transport","Suspected","Roads","Transport Drainage","Suspected"
