"","sentiment","n","percent"
"1","anger",744,8.12
"2","anticipation",1705,18.6
"3","disgust",391,4.27
"4","fear",602,6.57
"5","joy",1680,18.33
"6","sadness",504,5.5
"7","surprise",1089,11.88
"8","trust",2451,26.74
