"","sentiment","n","percent"
"1","anger",61,3.83
"2","anticipation",254,15.94
"3","disgust",56,3.52
"4","fear",85,5.34
"5","joy",484,30.38
"6","sadness",67,4.21
"7","surprise",45,2.82
"8","trust",541,33.96
