"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039023650","Water Industry","Confirmed","Other (not in list)","Sewage discharge (continuous)","Confirmed"
"2","GB106039023650","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"3","GB106039023650","Water Industry","Suspected","Waste water treatment","Sewage discharge (continuous)","Suspected"
"4","GB106039023650","Water Industry","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
"5","GB106039023650","Agriculture and rural land management","Suspected","Agriculture - Livestock","Poor Livestock Management","Suspected"
