"","sentiment","n","percent"
"1","anger",2,11.76
"2","anticipation",5,29.41
"3","disgust",1,5.88
"4","fear",1,5.88
"5","joy",3,17.65
"6","sadness",1,5.88
"7","surprise",1,5.88
"8","trust",3,17.65
