"","sentiment","n","percent"
"1","anger",10,10.53
"2","anticipation",20,21.05
"3","disgust",3,3.16
"4","fear",9,9.47
"5","joy",18,18.95
"6","sadness",7,7.37
"7","surprise",8,8.42
"8","trust",20,21.05
