"","sentiment","n","percent"
"1","anger",366,4.49
"2","anticipation",1451,17.8
"3","disgust",230,2.82
"4","fear",1926,23.63
"5","joy",1219,14.96
"6","sadness",1064,13.05
"7","surprise",655,8.04
"8","trust",1240,15.21
