"","X","text","n"
"1",1,"suwannee blackwater river",3294
"2",2,"the blackwater river",3105
"3",3,"the river blackwater",2358
"4",4,"blue lick mo",2239
"5",5,"the flood warning",1168
"6",6,"valley city mo",994
"7",7,"river info blackwater r",607
"8",8,"observation  blvm7  blackwater river",425
"9",9,"blue lick missouri flood stage",424
"10",10,"the cove brook",410
"11",11,"the blackwater river bridge",402
"12",12,"possible high winds",385
"13",13,"the following streams blackwater river",377
"14",14,"flood alert river blackwater",339
"15",15,"blackwater river state park",317
"16",16,"blackwater river state forest",300
"17",17,"the following rivers",294
"18",18,"minor fs crest",272
"19",19,"river info blackwater r nr valley city mo 1nw",259
"20",20,"santa rosa county",204
"21",21,"blackwater river bridge",154
"22",22,"blairstown blackwater river",141
"23",23,"the following streams big creek",136
"24",24,"a blackwater river",122
"25",25,"the buffalo river",121
