"","X","text","n"
"1",1,"foreign ladyofficial video",78
"2",2,"ft fresh x j brook",78
"3",3,"the kraken king",54
"4",4,"tony bennett lady gaga",53
"5",5,"247 non stop music tcokeids8bk",52
"6",6,"big mom young lady",52
"7",7,"foreign lady club version",52
"8",8,"a young lady",47
"9",9,"an old lady",45
"10",10,"foreign lady feat",45
"11",11,"meljean brook and lady jessica monster hunter",44
"12",12,"one lucky lady",44
"13",13,"fresh x j brook",42
"14",14,"the babbling brook",41
"15",15,"the oakland press",37
"16",16,"the sea hop",37
"17",17,"first lady michelle obama",34
"18",18,"lady justice statue",34
"19",19,"either the lady",33
"20",20,"the brook parish",33
"21",21,"lady gaga belle amie",28
"22",22,"her getglam tips",27
"23",23,"kelly brook lovely london lady",27
"24",24,"this young lady",27
"25",25,"her lady garden",24
