"","sentiment","n","percent"
"1","anger",2789,7.49
"2","anticipation",7524,20.21
"3","disgust",1879,5.05
"4","fear",3299,8.86
"5","joy",7511,20.17
"6","sadness",3328,8.94
"7","surprise",3960,10.64
"8","trust",6942,18.65
