"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039023670","Agriculture and rural land management","Suspected","Agriculture - Arable","Land use - arable","Suspected"
"2","GB106039023670","Agriculture and rural land management","Suspected","","Land drainage - operational management","Suspected"
