"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039017180","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"2","GB106039017180","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"3","GB106039017180","Urban and transport","Probable","Not applicable","Urbanisation - urban development","Probable"
"4","GB106039017180","Urban and transport","Confirmed","Other (not in list)","Urbanisation - urban development","Confirmed"
"5","GB106039017180","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"6","GB106039017180","Urban and transport","Confirmed","Other (not in list)","Contaminated land","Confirmed"
"7","GB106039017180","Urban and transport","Probable","Other (not in list)","Transport Drainage","Probable"
"8","GB106039017180","Urban and transport","Probable","Not applicable","Urbanisation - urban development","Probable"
"9","GB106039017180","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"10","GB106039017180","Industry","Probable","Other industry, manufacturing and Business","Trade/Industry discharge","Probable"
"11","GB106039017180","Water Industry","Confirmed","Not applicable","Sewage discharge (continuous)","Confirmed"
"12","GB106039017180","Water Industry","Probable","Not applicable","Sewage discharge (continuous)","Probable"
"13","GB106039017180","Urban and transport","Suspected","Urban","Transport Drainage","Suspected"
"14","GB106039017180","Urban and transport","Confirmed","Other (not in list)","Urbanisation - transport","Confirmed"
"15","GB106039017180","Urban and transport","Probable","Urban","Transport Drainage","Probable"
"16","GB106039017180","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"17","GB106039017180","Industry","Suspected","Not applicable","Trade/Industry discharge","Suspected"
"18","GB106039017180","No sector responsible","Not applicable","Not applicable","North american signal crayfish","Suspected"
