"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106038033410","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"2","GB106038033410","Urban and transport","Suspected","Not applicable","Urbanisation - urban development","Probable"
"3","GB106038033410","Agriculture and rural land management","Probable","Agriculture - Livestock","Riparian/in-river activities (inc bankside erosion)","Probable"
"4","GB106038033410","Urban and transport","Probable","Not applicable","Reservoir / Impoundment - non flow related","Probable"
"5","GB106038033410","Urban and transport","Probable","Roads","Transport Drainage","Probable"
"6","GB106038033410","Other","Confirmed","Not applicable","Incidents","Confirmed"
"7","GB106038033410","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"8","GB106038033410","Water Industry","Probable","Water supply","Groundwater abstraction","Probable"
"9","GB106038033410","No sector responsible","Not applicable","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"10","GB106038033410","Water Industry","Probable","Water supply","Groundwater abstraction","Probable"
"11","GB106038033410","Urban and transport","Probable","Not applicable","Reservoir / Impoundment - non flow related","Probable"
"12","GB106038033410","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"13","GB106038033410","Urban and transport","Probable","Other (not in list)","Barriers - ecological discontinuity","Probable"
"14","GB106038033410","Other","Confirmed","Not applicable","Incidents","Confirmed"
"15","GB106038033410","Urban and transport","Confirmed","Urban","Urbanisation - urban development","Confirmed"
"16","GB106038033410","Water Industry","Probable","Water supply","Groundwater abstraction","Probable"
"17","GB106038033410","Agriculture and rural land management","Probable","Agriculture - Livestock","Riparian/in-river activities (inc bankside erosion)","Probable"
"18","GB106038033410","Urban and transport","Probable","Roads","Transport Drainage","Probable"
