"","sentiment","n","percent"
"1","anger",194,6.93
"2","anticipation",482,17.21
"3","disgust",66,2.36
"4","fear",797,28.45
"5","joy",392,14
"6","sadness",165,5.89
"7","surprise",218,7.78
"8","trust",487,17.39
