"source","target","value"
"No sector responsible","Natural conditions - other",1
"Sector under investigation","Unknown (pending investigation)",2
"Urban and transport","Urbanisation - urban development",1
"Water Industry","Incidents",1
"Water Industry","Sewage discharge (continuous)",3
