"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039023510","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"2","GB106039023510","Water Industry","Suspected","Waste water treatment","Sewage discharge (continuous)","Suspected"
"3","GB106039023510","Urban and transport","Suspected","Roads","Transport Drainage","Suspected"
"4","GB106039023510","Water Industry","Probable","Waste water treatment","Incidents","Probable"
"5","GB106039023510","Agriculture and rural land management","Confirmed","Agriculture - Arable","Land drainage","Confirmed"
"6","GB106039023510","Urban and transport","Confirmed","Urban","Urbanisation - urban development","Confirmed"
"7","GB106039023510","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"8","GB106039023510","Urban and transport","Probable","Not applicable","Urbanisation - transport","Probable"
"9","GB106039023510","Other","Probable","Not applicable","Barriers - ecological discontinuity","Probable"
"10","GB106039023510","Water Industry","Probable","Not applicable","Sewage discharge (intermittent)","Probable"
