"","sentiment","n","percent"
"1","anger",67,6.87
"2","anticipation",126,12.92
"3","disgust",53,5.44
"4","fear",479,49.13
"5","joy",59,6.05
"6","sadness",45,4.62
"7","surprise",37,3.79
"8","trust",109,11.18
