"","created_at","mean_senti"
"1",2008-08-23,1.5
"2",2009-07-17,-0.25
"3",2009-09-13,0
"4",2010-02-08,0
"5",2010-04-05,1.25
"6",2010-09-15,1.75
"7",2010-10-10,0.85
"8",2011-03-26,0.3
"9",2011-04-10,0
"10",2011-04-25,0.6
"11",2011-05-12,0
"12",2011-05-13,0
"13",2011-05-30,1.4
"14",2011-06-10,0
"15",2011-10-07,2.6
"16",2011-10-08,2.35
"17",2011-12-29,0
"18",2012-02-11,0
"19",2012-02-13,0.6
"20",2012-03-11,0
"21",2012-03-12,2
"22",2012-04-14,0
"23",2012-09-03,0
"24",2012-09-06,0
"25",2012-09-14,0
"26",2012-09-18,-0.25
"27",2012-10-16,0.75
"28",2012-11-03,0.8
"29",2012-11-18,1
"30",2012-12-08,0
"31",2013-01-26,0.8
"32",2013-02-01,-0.75
"33",2013-02-17,0.1
"34",2013-02-28,0
"35",2013-03-03,-0.25
"36",2013-03-06,-0.1
"37",2013-03-09,0
"38",2013-04-10,0
"39",2013-04-30,0.5
"40",2013-05-17,2.1
"41",2013-06-13,-1.25
"42",2013-06-18,1.5
"43",2013-06-26,0
"44",2013-07-15,0.15
"45",2013-07-22,0
"46",2013-07-23,-0.25
"47",2013-07-26,0.1
"48",2013-08-13,1.25
"49",2013-08-20,0.525
"50",2013-08-24,0.925
"51",2013-09-07,0.875
"52",2013-09-19,0
"53",2013-11-14,1.2
"54",2013-12-05,0.75
"55",2013-12-29,1.1
"56",2014-03-02,1.125
"57",2014-03-09,0
"58",2014-04-13,0.283333333333333
"59",2014-05-02,0.5
"60",2014-05-09,0
"61",2014-05-27,0.5
"62",2014-05-30,0
"63",2014-06-20,0.1
"64",2014-07-04,0.75
"65",2014-07-11,0.9
"66",2014-07-12,1.2
"67",2014-07-13,0.45
"68",2014-07-15,0.9
"69",2014-07-16,0.9
"70",2014-07-17,0.9
"71",2014-07-20,0.9
"72",2014-07-21,0.9
"73",2014-07-22,0.9
"74",2014-07-24,0.9
"75",2014-08-13,0.5
"76",2014-08-20,0.5
"77",2014-09-04,0
"78",2014-09-07,-1
"79",2014-09-13,0.175
"80",2014-09-18,1.2
"81",2014-10-04,0.9
"82",2014-11-06,0.6
"83",2014-11-09,1.5
"84",2014-11-19,0
"85",2015-03-18,0
"86",2015-04-05,0
"87",2015-04-29,-0.4
"88",2015-05-09,0
"89",2015-05-14,-0.25
"90",2015-06-10,0
"91",2015-06-19,0.666666666666667
"92",2015-06-21,0.6
"93",2015-06-30,0.75
"94",2015-08-06,1.05
"95",2015-08-08,0
"96",2015-08-26,0
"97",2015-09-10,1
"98",2015-09-15,0
"99",2015-09-23,0
"100",2015-09-25,0
"101",2015-10-02,0.4
"102",2015-10-07,0
"103",2015-10-08,0
"104",2015-10-14,0.5
"105",2015-10-21,0.975
"106",2015-11-07,0
"107",2015-11-14,0.75
"108",2016-01-02,0
"109",2016-01-10,0.65
"110",2016-01-17,0.1
"111",2016-01-22,0
"112",2016-01-24,0.5
"113",2016-01-27,2.35
"114",2016-02-19,1.4
"115",2016-02-20,0.5
"116",2016-02-21,0
"117",2016-02-24,0.75
"118",2016-03-13,1.25
"119",2016-03-18,0.25
"120",2016-04-01,0.4
"121",2016-04-25,1.025
"122",2016-04-28,0.55
"123",2016-05-02,-0.25
"124",2016-05-07,0.75
"125",2016-05-16,0
"126",2016-05-20,1
"127",2016-05-28,0
"128",2016-06-03,0
"129",2016-07-04,-0.25
"130",2016-07-05,0.75
"131",2016-07-06,0.2
"132",2016-07-13,-0.125
"133",2016-07-14,0
"134",2016-07-18,0
"135",2016-07-19,0.75
"136",2016-08-04,0
"137",2016-09-08,0.25
"138",2016-09-11,0.5
"139",2016-09-22,1.5
"140",2016-09-24,0.1
"141",2016-10-09,0.575
"142",2016-10-12,0
"143",2016-10-20,0
"144",2016-10-21,1.75
"145",2016-10-25,1.25
"146",2016-11-04,0
"147",2016-11-13,-0.15
"148",2016-12-29,-0.75
"149",2017-01-03,0
"150",2017-01-24,0.6
"151",2017-02-01,0
"152",2017-02-16,1
"153",2017-02-21,0.5
"154",2017-04-01,0
"155",2017-04-03,0.4
"156",2017-04-04,-0.25
"157",2017-04-07,0.75
"158",2017-04-13,0.1
"159",2017-04-15,0.25
"160",2017-04-25,0.125
"161",2017-06-11,0
"162",2017-06-21,0
"163",2017-06-30,0
"164",2017-07-17,1
"165",2017-07-27,0.75
"166",2017-08-09,0
"167",2017-08-25,1.25
"168",2017-09-03,0.75
"169",2017-09-15,0.25
"170",2017-09-22,0.1
"171",2017-09-23,0
"172",2017-09-24,1.1
"173",2017-10-01,0
"174",2017-10-06,1.8
"175",2017-10-15,0
"176",2017-10-18,0.8
"177",2017-11-17,0
"178",2017-11-27,0.75
"179",2017-12-13,0
"180",2017-12-21,2.35
"181",2018-01-07,0.25
"182",2018-01-17,0.4
"183",2018-01-20,-0.25
"184",2018-01-27,0
"185",2018-01-31,0
"186",2018-02-06,1.75
"187",2018-03-09,1.3
"188",2018-03-11,-0.25
"189",2018-03-18,0.75
"190",2018-03-23,-0.6
