"","sentiment","n","percent"
"1","anger",30,3.71
"2","anticipation",196,24.23
"3","disgust",20,2.47
"4","fear",33,4.08
"5","joy",202,24.97
"6","sadness",47,5.81
"7","surprise",91,11.25
"8","trust",190,23.49
