"","sentiment","n","percent"
"1","anger",2,8.7
"2","anticipation",5,21.74
"3","disgust",1,4.35
"4","fear",5,21.74
"5","joy",1,4.35
"6","sadness",2,8.7
"7","surprise",2,8.7
"8","trust",5,21.74
