"","X","text","n"
"1",1,"1boundary east isando industrial areas",1
"2",2,"2boundary west isando industrial areas",1
"3",3,"3barbara elandsfontein area",1
"4",4,"4 northridge kempton park",1
"5",5,"isando reservoir kempton park",1
"6",6,"kempton park cbd",1
