"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039030310","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"2","GB106039030310","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"3","GB106039030310","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"4","GB106039030310","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"5","GB106039030310","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"6","GB106039030310","Agriculture and rural land management","Probable","Not applicable","Poor nutrient management","Probable"
"7","GB106039030310","Agriculture and rural land management","Suspected","Not applicable","Land drainage - operational management","Probable"
"8","GB106039030310","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"9","GB106039030310","Agriculture and rural land management","Probable","Not applicable","Poor nutrient management","Probable"
"10","GB106039030310","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"11","GB106039030310","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
