"","sentiment","n","percent"
"1","anger",199,5.75
"2","anticipation",536,15.5
"3","disgust",86,2.49
"4","fear",576,16.66
"5","joy",454,13.13
"6","sadness",345,9.98
"7","surprise",325,9.4
"8","trust",937,27.1
