"","sentiment","n","percent"
"1","anger",260,8.29
"2","anticipation",610,19.46
"3","disgust",193,6.16
"4","fear",380,12.12
"5","joy",490,15.63
"6","sadness",328,10.46
"7","surprise",262,8.36
"8","trust",612,19.52
