"","X","text","n"
"1",1,"the hudson river",647
"2",2,"space shuttle enterprise",394
"3",3,"the space shuttle enterprise",326
"4",4,"the river shuttle",297
"5",5,"the space shuttle",256
"6",6,"new home photos enterprise shuttle",208
"7",7,"the hudson river video",192
"8",8,"airport shuttle cape",181
"9",9,"space shuttle enterprise hudson river",173
"10",10,"a space shuttle",116
"11",11,"a shuttle bus",95
"12",12,"the la river",89
"13",13,"a free shuttle",85
"14",14,"a shuttle service",81
"15",15,"the shuttle bus",75
"16",16,"the indian river",68
"17",17,"new york museum",64
"18",18,"double white ipa",56
"19",19,"nasa space shuttle enterprise",56
"20",20,"kern river brewing company",52
"21",21,"the rhine river",51
"22",22,"mock nasa space shuttle inspiration",49
"23",23,"its new home",42
"24",24,"the chao phraya river",42
"25",25,"free shuttle service",41
